날짜,종가,시가,고가,저가,거래량,외국인 보유율
2023-09-25,69400.0,68500.0,69700.0,68500.0,13582516,53.18
2023-09-26,68600.0,70000.0,70000.0,68400.0,13143470,53.19
2023-09-27,68400.0,68600.0,69100.0,68200.0,14886491,53.2
2023-10-04,67500.0,67400.0,67700.0,66700.0,23361149,53.17
2023-10-05,66700.0,67300.0,67400.0,66700.0,16108313,53.13
2023-10-06,66000.0,67100.0,67300.0,66000.0,14386527,53.05
2023-10-10,66400.0,66200.0,67600.0,66200.0,19889202,52.99
2023-10-11,68200.0,68600.0,69400.0,67900.0,25209349,52.99
2023-10-12,68900.0,68600.0,69700.0,68200.0,19311380,52.99
2023-10-13,68000.0,68000.0,68500.0,67700.0,9724086,52.98
2023-10-16,67300.0,67900.0,68500.0,66800.0,12599299,52.95
2023-10-17,69400.0,67700.0,69900.0,67400.0,17299253,53.01
2023-10-18,70500.0,68900.0,70500.0,68800.0,16493184,53.09
2023-10-19,69500.0,69700.0,70000.0,69400.0,13985012,53.11
2023-10-20,68800.0,68900.0,69200.0,68100.0,15204495,53.12
2023-10-23,68400.0,68700.0,69100.0,68200.0,11625959,53.09
2023-10-24,68500.0,68700.0,68800.0,67700.0,12791710,53.09
2023-10-25,68000.0,68800.0,68800.0,67900.0,10610703,53.08
2023-10-26,66700.0,67000.0,67900.0,66700.0,15517624,53.07
2023-10-27,67300.0,67100.0,67300.0,66700.0,11334726,53.06
2023-10-30,67300.0,66800.0,67800.0,66700.0,10139270,53.08
2023-10-31,66900.0,67600.0,68300.0,66900.0,14488892,53.07
2023-11-01,68600.0,67500.0,68900.0,67300.0,13775256,53.06
2023-11-02,69700.0,70000.0,70000.0,69400.0,16350031,53.11
2023-11-03,69600.0,69700.0,70200.0,69500.0,10322234,53.13
2023-11-06,70900.0,69800.0,70900.0,69300.0,22228489,53.11
2023-11-07,70900.0,70600.0,70900.0,70000.0,17228731,53.16
2023-11-08,69900.0,71300.0,71400.0,69700.0,12901310,53.16
2023-11-09,70300.0,69900.0,70800.0,69600.0,12301373,53.21
2023-11-10,70500.0,70000.0,70500.0,69500.0,9684347,53.21
2023-11-13,70400.0,71300.0,71300.0,70300.0,9246919,53.22
2023-11-14,70800.0,71000.0,71100.0,70600.0,9567984,53.24
2023-11-15,72200.0,71600.0,72200.0,71500.0,20148677,53.33
2023-11-16,72800.0,72500.0,73000.0,72300.0,15860451,53.42
2023-11-17,72500.0,72300.0,73000.0,72300.0,11494644,53.46
2023-11-20,72700.0,72100.0,73000.0,72100.0,10610157,53.47
2023-11-21,72800.0,73100.0,73400.0,72700.0,9712881,53.5
2023-11-22,72800.0,72200.0,73000.0,71900.0,11105143,53.54
2023-11-23,72400.0,73000.0,73200.0,72200.0,6775614,53.55
2023-11-24,71700.0,72400.0,72600.0,71700.0,6676685,53.55
2023-11-27,71300.0,71500.0,72100.0,71100.0,9113857,53.54
2023-11-28,72700.0,71400.0,72700.0,71300.0,13283081,53.55
2023-11-29,72700.0,72400.0,72800.0,72200.0,9283933,53.59
2023-11-30,72800.0,72700.0,72800.0,72200.0,15783714,53.58
2023-12-01,72000.0,72400.0,72500.0,71700.0,9871284,53.58
2023-12-04,72600.0,72800.0,72900.0,72400.0,10229267,53.61
2023-12-05,71200.0,72300.0,72400.0,71200.0,12129682,53.59
2023-12-06,71700.0,71800.0,72100.0,71600.0,8123087,53.61
2023-12-07,71500.0,71800.0,71900.0,71100.0,8862017,53.64
2023-12-08,72600.0,72100.0,72800.0,71900.0,10859463,53.63
2023-12-11,73000.0,72800.0,73000.0,72200.0,9861960,53.7
2023-12-12,73500.0,73300.0,73500.0,73100.0,13758646,53.69
2023-12-13,72800.0,73300.0,73500.0,72800.0,13116766,53.71
