날짜,종가,시가,고가,저가,거래량
2023-09-25,42.222,41.591,42.536,41.177,419090960
2023-09-26,41.911,42.001,42.82,41.655,402282090
2023-09-27,42.468,42.33,42.872,41.629,444935200
2023-09-28,43.089,42.46,43.4463,42.115,424662790
2023-09-29,43.499,43.827,44.144,43.3069,397829930
2023-10-02,44.782,44.03,45.175,43.861,433298210
2023-10-03,43.517,44.808,45.13,43.246,470849540
2023-10-04,44.041,43.742,44.143,43.292,361820860
2023-10-05,44.688,44.05,44.9,43.888,393483090
2023-10-06,45.762,44.193,45.789,44.026,434436020
2023-10-09,45.273,44.842,45.605,44.368,409674720
2023-10-10,45.798,45.31,46.259,45.088,368582080
2023-10-11,46.806,46.196,46.859,46.05,378136890
2023-10-12,46.945,46.777,47.609,46.33,481325000
2023-10-13,45.461,46.96,47.116,45.28,475425990
2023-10-16,46.095,45.063,46.225,44.912,375099240
2023-10-17,43.938,44.0,44.754,42.48,812332670
2023-10-18,42.196,42.591,43.219,41.825,627294340
2023-10-19,42.101,42.811,43.297,41.882,501233080
2023-10-20,41.387,41.89,42.47,41.078,477266050
2023-10-23,42.975,41.229,43.248,40.945,478530490
2023-10-24,43.663,43.077,43.697,42.691,401463370
2023-10-25,41.779,43.398,43.65,41.555,398379220
2023-10-26,40.326,41.853,42.2556,39.8802,541001320
2023-10-27,40.5,41.13,41.206,40.015,416784410
2023-10-30,41.161,41.087,41.766,40.481,388028140
2023-10-31,40.78,40.45,40.879,39.23,517968700
2023-11-01,42.325,40.884,42.381,40.869,437592900
2023-11-02,43.506,43.328,43.884,42.894,409171870
2023-11-03,45.005,44.02,45.309,43.723,424609590
2023-11-06,45.751,45.2845,45.935,44.899,400733350
2023-11-07,45.955,45.719,46.218,45.1575,343165470
2023-11-08,46.574,46.1,46.867,45.968,346718940
2023-11-09,46.95,47.467,48.23,46.75,540495970
2023-11-10,48.335,47.5,48.472,47.283,422441560
2023-11-13,48.62,48.32,49.116,48.099,384135700
2023-11-14,49.656,49.68,49.834,49.04,416953870
2023-11-15,48.888,49.935,49.96,48.2,475497350
2023-11-16,49.48,48.679,49.5247,48.33,339756240
2023-11-17,49.298,49.524,49.717,49.007,325896910
2023-11-20,50.409,49.312,50.548,49.181,416142600
2023-11-21,49.944,50.126,50.517,49.222,565746870
2023-11-22,48.716,49.852,50.3349,47.69,900642330
