날짜,종가,시가,고가,저가,거래량
2023-09-25,246.99,243.38,247.1,238.31,104636557
2023-09-26,244.12,242.98,249.55,241.6601,101993631
2023-09-27,240.5,244.262,245.33,234.58,136597184
2023-09-28,246.38,240.02,247.55,238.65,117058870
2023-09-29,250.22,250.0,254.77,246.35,128522729
2023-10-02,251.6,244.81,254.2799,242.62,123810402
2023-10-03,246.53,248.61,250.02,244.45,101985305
2023-10-04,261.16,248.14,261.86,247.6,129721567
2023-10-05,260.05,260.0,263.6,256.25,119159214
2023-10-06,260.53,253.98,261.65,250.65,118121812
2023-10-09,259.67,255.31,261.36,252.05,101377947
2023-10-10,263.62,257.75,268.94,257.65,122656030
2023-10-11,262.99,266.2,268.6,260.9,103706266
2023-10-12,258.87,262.92,265.41,256.6307,111508114
2023-10-13,251.12,258.9,259.6,250.22,102296786
2023-10-16,253.92,250.05,255.3999,248.48,88917176
2023-10-17,254.85,250.1,257.183,247.08,93562909
2023-10-18,242.68,252.7,254.63,242.08,125147846
2023-10-19,220.11,225.95,230.61,216.78,170772713
2023-10-20,211.99,217.01,218.8606,210.42,138010095
2023-10-23,212.08,210.0,216.98,202.51,150683368
2023-10-24,216.52,216.5,222.05,214.11,118231113
2023-10-25,212.42,215.88,220.1,212.2,107065087
2023-10-26,205.76,211.32,214.8,204.88,115112635
2023-10-27,207.3,210.6,212.41,205.77,94881173
2023-10-30,197.36,209.28,210.88,194.67,136448167
2023-10-31,200.84,196.12,202.8,194.07,118068273
2023-11-01,205.66,204.04,205.99,197.85,121661656
2023-11-02,218.51,212.97,219.2,211.45,125987621
2023-11-03,219.96,221.15,226.3701,218.4,119534790
2023-11-06,219.27,223.98,226.32,215.0,117335820
2023-11-07,222.18,219.98,223.12,215.72,116900130
2023-11-08,222.11,223.15,224.15,217.64,106584841
2023-11-09,209.98,219.75,220.8,206.68,142110454
2023-11-10,214.65,210.03,215.38,205.69,131310128
2023-11-13,223.71,215.6,225.4,211.6101,140447569
2023-11-14,237.41,235.03,238.135,230.72,149771642
2023-11-15,242.84,239.29,246.7,236.45,150353975
2023-11-16,233.59,239.49,240.88,230.96,136816819
2023-11-17,234.3,232.0,237.39,226.54,142766234
2023-11-20,235.6,234.04,237.1,231.02,116562402
2023-11-21,241.2,235.04,243.62,233.34,122288000
2023-11-22,234.21,242.04,244.01,231.4,118117078
2023-11-24,235.45,233.75,238.75,232.33,65125203
