날짜,종가,시가,고가,저가,거래량,외국인 보유율
2023-09-01,68400.0,66800.0,72900.0,66700.0,283534308,53.0
2023-10-01,66900.0,67400.0,70500.0,66000.0,290080133,53.0
2023-11-01,72800.0,67500.0,73400.0,67300.0,273455511,53.0
2023-12-01,78500.0,72400.0,78500.0,71100.0,254875780,54.0
2024-01-01,72700.0,78200.0,79800.0,70700.0,397638759,54.0
2024-02-01,73400.0,73000.0,75500.0,72000.0,298955484,54.0
2024-03-01,82400.0,74300.0,82500.0,71700.0,448361736,55.0
2024-04-01,77500.0,83200.0,86000.0,75100.0,484342028,55.0
2024-05-01,73500.0,77600.0,81500.0,73500.0,421088782,55.0
2024-06-01,81500.0,74400.0,82500.0,74200.0,351896233,55.0
2024-07-01,83900.0,81500.0,88800.0,80000.0,477159149,56.0
2024-08-01,74300.0,86000.0,86100.0,70200.0,402010176,56.0
2024-09-01,61500.0,74500.0,74700.0,61500.0,516679519,53.0
2024-10-01,59200.0,60500.0,61900.0,55700.0,537302984,52.0
2024-11-01,54200.0,59000.0,59600.0,49900.0,581402427,51.0
2024-12-01,53200.0,54300.0,56600.0,51900.0,387381948,50.0
2025-01-01,52400.0,52700.0,57700.0,51700.0,342890865,49.0
2025-02-01,54500.0,51100.0,59100.0,50800.0,424630532,50.0
2025-03-01,59900.0,53900.0,60300.0,52500.0,264616642,50.0
