날짜,종가,시가,고가,저가,거래량
2023-09-01,43.499,49.762,49.8,40.98,8580103190
2023-10-01,40.78,44.03,47.609,39.23,10142413430
2023-11-01,46.77,40.884,50.548,40.869,9149750190
2023-12-01,49.522,46.525,50.433,45.01,7411886410
2024-01-01,61.527,49.244,63.493,47.32,9706237070
2024-02-01,79.112,62.1,82.394,61.65,11077899230
2024-03-01,90.356,80.0,97.4,79.435,12149220670
2024-04-01,86.402,90.299,92.225,75.606,10074179110
2024-05-01,109.633,85.077,115.8192,81.2546,9647970760
2024-06-01,123.54,113.621,140.76,112.003,7442538522
2024-07-01,117.02,123.47,136.15,102.54,6407092755
2024-08-01,119.37,117.53,131.26,90.69,8105367559
2024-09-01,121.44,116.01,127.665,100.95,6272711021
2024-10-01,132.76,121.765,144.42,115.14,5628704792
2024-11-01,138.25,134.7,152.89,131.8,4498075137
2024-12-01,134.29,138.83,146.54,126.86,4086168557
2025-01-01,120.07,136.0,153.13,116.25,5950612536
2025-02-01,124.92,114.75,143.44,113.01,4756110221
2025-03-01,117.52,123.51,123.7,104.77,4207271638
