날짜,종가,시가,고가,저가,거래량
2023-09-01,250.22,257.26,278.98,234.58,2440633653
2023-10-01,200.84,244.81,268.94,194.07,2591243998
2023-11-01,240.08,204.04,252.75,197.85,2652010569
2023-12-01,248.48,233.14,265.13,228.2,2295511890
2024-01-01,187.29,250.08,251.25,180.06,2341412683
2024-02-01,201.88,188.5,205.6,175.01,2020188307
2024-03-01,175.79,200.52,204.52,160.51,1899578482
2024-04-01,183.28,176.17,198.87,138.8025,2481733196
2024-05-01,178.08,182.0,187.56,167.75,1668285761
2024-06-01,197.88,178.13,203.2,167.41,1407037303
2024-07-01,232.07,201.02,271.0,200.85,2946645956
2024-08-01,214.11,227.69,231.867,182.0,1618373088
2024-09-01,261.63,215.26,264.86,209.64,1611441082
2024-10-01,249.85,262.67,273.536,212.11,1910960826
2024-11-01,345.16,252.043,361.93,238.88,2091913770
2024-12-01,403.84,352.38,488.5399,348.2,1903650512
2025-01-01,404.6,390.1,439.74,373.04,1510656740
2025-02-01,292.98,386.68,394.0,273.6,1582390013
2025-03-01,235.86,300.34,303.94,217.02,1593738943
