날짜,종가,시가,고가,저가,거래량,외국인 보유율
2023-09-17,68800.0,71300.0,71700.0,68300.0,59428106,53.0
2023-09-24,68400.0,68500.0,70000.0,68200.0,41612477,53.0
2023-10-01,66000.0,67400.0,67700.0,66000.0,53855989,53.0
2023-10-08,68000.0,66200.0,69700.0,66200.0,74134017,52.0
2023-10-15,68800.0,67900.0,70500.0,66800.0,75581243,53.0
2023-10-22,67300.0,68700.0,69100.0,66700.0,61880722,53.0
2023-10-29,69600.0,66800.0,70200.0,66700.0,65075683,53.0
2023-11-05,70500.0,69800.0,71400.0,69300.0,74344250,53.0
2023-11-12,72500.0,71300.0,73000.0,70300.0,66318675,53.0
2023-11-19,71700.0,72100.0,73400.0,71700.0,44880480,53.0
2023-11-26,72000.0,71500.0,72800.0,71100.0,57335869,53.0
2023-12-03,72600.0,72800.0,72900.0,71100.0,50203516,53.0
2023-12-10,73300.0,72800.0,74300.0,72200.0,79724780,53.0
2023-12-17,75900.0,73300.0,76300.0,72800.0,63462713,53.0
2023-12-24,78500.0,76100.0,78500.0,75700.0,51613487,54.0
2023-12-31,76600.0,78200.0,79800.0,76100.0,65525246,54.0
2024-01-07,73100.0,77000.0,77700.0,72700.0,128097707,54.0
2024-01-14,74700.0,73200.0,74700.0,70700.0,91873238,54.0
2024-01-21,73400.0,75900.0,76000.0,73300.0,70218069,54.0
2024-01-28,75200.0,73800.0,75300.0,72500.0,76761413,54.0
2024-02-04,74100.0,74200.0,75500.0,73300.0,70962428,54.0
2024-02-11,72800.0,74800.0,75200.0,72500.0,61967071,54.0
2024-02-18,72900.0,72800.0,74200.0,72700.0,70345476,54.0
2024-02-25,73400.0,72300.0,73900.0,72000.0,60843595,54.0
2024-03-03,73300.0,74300.0,75000.0,72200.0,98051816,54.0
2024-03-10,72300.0,72900.0,74500.0,72100.0,83121386,54.0
2024-03-17,78900.0,72600.0,79900.0,71700.0,148297271,54.0
2024-03-24,82400.0,79600.0,82500.0,77800.0,118891263,55.0
2024-03-31,84500.0,83200.0,85500.0,82000.0,131820490,55.0
2024-04-07,83700.0,85200.0,86000.0,82500.0,85278967,55.0
2024-04-14,77600.0,82900.0,83200.0,76300.0,133913001,55.0
2024-04-21,76700.0,77400.0,78800.0,75100.0,99658089,55.0
2024-04-28,77600.0,77400.0,79000.0,76200.0,65724010,55.0
2024-05-05,79200.0,79600.0,81500.0,78900.0,75064503,56.0
2024-05-12,77400.0,79400.0,80300.0,77200.0,67324315,55.0
2024-05-19,75900.0,78100.0,79100.0,75700.0,99288237,55.0
2024-05-26,73500.0,75300.0,78200.0,73500.0,147359198,55.0
2024-06-02,77300.0,74400.0,78600.0,74200.0,74171638,55.0
2024-06-09,79600.0,76100.0,80500.0,75100.0,107507071,55.0
2024-06-16,80000.0,79200.0,82500.0,78000.0,96695948,55.0
2024-06-23,81500.0,79700.0,81900.0,79500.0,73521576,55.0
2024-06-30,87100.0,81500.0,87100.0,81000.0,126877856,56.0
2024-07-07,84400.0,87900.0,88800.0,84100.0,114207851,56.0
2024-07-14,84400.0,84700.0,88000.0,83800.0,102837170,56.0
2024-07-21,80900.0,84400.0,84900.0,80100.0,86525177,56.0
2024-07-28,79600.0,81600.0,86100.0,79500.0,93411708,56.0
2024-08-04,74700.0,76700.0,76900.0,70200.0,179417395,56.0
2024-08-11,80200.0,75200.0,80200.0,74800.0,55863166,56.0
2024-08-18,77700.0,80100.0,80100.0,77500.0,50205406,56.0
2024-08-25,74300.0,78100.0,78200.0,73500.0,69823596,56.0
2024-09-01,68900.0,74500.0,74700.0,68000.0,101031606,55.0
2024-09-08,64400.0,66900.0,68200.0,64200.0,150653622,54.0
2024-09-15,63000.0,64000.0,64700.0,62200.0,82148769,54.0
2024-09-22,64200.0,62300.0,65400.0,62200.0,150151359,53.0
2024-09-29,60600.0,64200.0,64300.0,59900.0,85415277,53.0
2024-10-06,59300.0,60200.0,61900.0,58900.0,137364502,53.0
2024-10-13,59200.0,59500.0,61400.0,59100.0,104697889,53.0
2024-10-20,55900.0,59000.0,60000.0,55800.0,130727449,52.0
2024-10-27,58300.0,55700.0,61200.0,55700.0,130875210,52.0
2024-11-03,57000.0,58600.0,59400.0,56300.0,86084137,52.0
2024-11-10,53500.0,56700.0,56800.0,49900.0,215587402,51.0
2024-11-17,56000.0,57000.0,57500.0,54700.0,134877926,51.0
2024-11-24,54200.0,57400.0,58900.0,53800.0,125769782,51.0
2024-12-01,54100.0,54300.0,54400.0,52000.0,120874387,51.0
2024-12-08,56100.0,53500.0,56500.0,53200.0,110963118,50.0
2024-12-15,53000.0,56300.0,56600.0,51900.0,96348143,50.0
2024-12-22,53700.0,53400.0,54600.0,53200.0,46571598,50.0
2024-12-29,54400.0,53300.0,55100.0,52300.0,48573286,50.0
2025-01-05,55300.0,54400.0,57700.0,54300.0,103207887,50.0
2025-01-12,53700.0,54600.0,55000.0,53200.0,90392193,50.0
2025-01-19,53700.0,53600.0,54400.0,53100.0,71155922,50.0
2025-01-26,52400.0,52200.0,53000.0,51700.0,42186279,49.0
2025-02-02,53700.0,51100.0,54200.0,50800.0,106477524,49.0
2025-02-09,56000.0,53000.0,57300.0,52900.0,125030539,49.0
2025-02-16,58200.0,56100.0,59100.0,55700.0,103229672,50.0
2025-02-23,54500.0,57300.0,57800.0,54500.0,89892797,50.0
2025-03-02,53700.0,53900.0,55400.0,53400.0,61665843,50.0
2025-03-09,54700.0,53500.0,55900.0,52500.0,83613087,50.0
2025-03-16,59900.0,55500.0,60300.0,55400.0,119337712,50.0
