날짜,종가,시가,고가,저가,거래량
2023-09-17,41.61,42.748,44.242,40.98,2170414990
2023-09-24,43.499,41.591,44.144,41.177,2088800970
2023-10-01,45.762,44.03,45.789,43.246,2093887720
2023-10-08,45.461,44.842,47.609,44.368,2113144680
2023-10-15,41.387,45.063,46.225,41.078,2793225380
2023-10-22,40.5,41.229,43.697,39.8802,2236158810
2023-10-29,45.005,41.087,45.309,39.23,2177371200
2023-11-05,48.335,45.2845,48.472,44.899,2053555290
2023-11-12,49.298,48.32,49.96,48.099,1942240070
2023-11-19,47.776,49.312,50.548,47.69,2177176440
2023-11-26,46.765,47.8,48.762,46.187,2074721040
2023-12-03,47.506,46.077,47.7409,45.01,1899896860
2023-12-10,48.89,47.491,49.404,45.83,2201086130
2023-12-17,48.83,49.4,50.433,48.098,1827858130
2023-12-24,49.522,48.968,49.997,48.751,1113728280
2023-12-31,49.097,49.244,49.547,47.32,1453724550
2024-01-07,54.71,49.512,55.346,49.479,2899158090
2024-01-14,59.491,55.018,59.5,54.74,1959126010
2024-01-21,61.031,60.049,62.849,58.585,2180965270
2024-01-28,66.16,61.232,66.6,60.7,2058986590
2024-02-04,72.133,68.225,72.185,66.3,2709822920
2024-02-11,72.613,72.6,74.611,69.62,2636656180
2024-02-18,78.817,71.947,82.394,66.248,3089619340
2024-02-25,82.279,79.7,82.3,77.125,2275212450
2024-03-03,87.528,84.13,97.4,83.417,3469164270
2024-03-10,87.8365,86.429,91.96,84.166,3226556480
2024-03-17,94.289,90.388,94.778,85.01,2887301660
2024-03-24,90.356,93.941,96.766,89.123,2087063160
2024-03-31,88.008,90.299,92.225,85.88,2090214970
2024-04-07,88.186,88.7,90.739,83.022,2077137940
2024-04-14,76.2,89.098,90.613,75.606,2631387820
2024-04-21,87.735,78.104,88.3309,76.4,2522758920
2024-04-28,88.789,87.595,89.281,81.2546,2088780890
2024-05-05,89.878,89.39,92.22,88.231,1852603270
2024-05-12,92.479,90.478,95.819,88.529,1687565550
2024-05-19,106.469,93.75,106.475,93.18,2460917860
2024-05-26,109.633,110.244,115.8192,106.94,2310782650
2024-06-02,120.888,113.621,125.587,112.003,2447199540
2024-06-09,131.88,120.37,132.84,117.01,1406333722
2024-06-16,126.57,132.99,140.76,124.3,1756092587
2024-06-23,123.54,123.24,128.12,118.04,1832912673
2024-06-30,125.83,123.47,128.85,118.83,933185147
2024-07-07,129.24,127.49,136.15,127.04,1401139984
2024-07-14,117.93,130.56,131.39,116.56,1351385198
2024-07-21,113.06,120.35,124.69,106.3,1513222902
2024-07-28,107.27,113.69,120.16,101.37,2213649314
2024-08-04,104.75,92.06,108.8,90.69,2056049067
2024-08-11,124.58,106.32,125.0,106.26,1598129482
2024-08-18,129.37,124.28,130.75,123.1,1575723972
2024-08-25,119.37,129.57,131.26,116.71,1869975248
2024-09-01,102.83,116.01,116.21,100.95,1570114185
2024-09-08,119.1,104.88,120.79,103.69,1589076945
2024-09-15,116.0,116.79,119.66,113.22,1466985987
2024-09-22,121.4,116.55,127.665,114.86,1419480253
2024-09-29,124.92,118.31,125.04,115.14,1272577548
2024-10-06,134.8,124.99,135.78,124.95,1290685141
2024-10-13,138.0,136.47,140.89,128.74,1357584514
2024-10-20,141.54,138.13,144.42,137.46,1154273138
2024-10-27,135.4,143.0,143.14,132.1106,987765940
2024-11-03,147.63,137.21,149.77,135.57,973098624
2024-11-10,141.98,148.68,149.65,140.08,1017459795
2024-11-17,141.95,139.5,152.89,137.15,1396925283
2024-11-24,138.25,141.99,142.05,131.8,903463597
2024-12-01,142.44,138.83,146.54,137.825,928447790
2024-12-08,134.25,138.97,141.82,132.54,974960979
2024-12-15,134.7,134.18,136.7,126.86,1291053689
2024-12-22,137.01,136.28,141.9,134.71,568312188
2024-12-29,144.47,134.83,144.9,133.83,750963555
2025-01-05,135.91,148.59,153.13,134.22,1052111995
2025-01-12,137.71,129.99,138.75,129.51,996041080
2025-01-19,142.62,139.16,148.97,137.09,825973564
2025-01-26,120.07,124.8,129.0,116.25,2648916253
2025-02-02,129.84,114.75,130.37,113.01,1370566218
2025-02-09,138.85,130.09,139.25,129.08,949079549
2025-02-16,134.43,141.27,143.44,134.03,758833801
2025-02-23,124.92,136.56,138.59,116.4,1677630653
2025-03-02,112.69,123.51,123.7,107.56,1756819893
2025-03-09,121.67,109.9,121.88,104.77,1621837095
2025-03-16,117.52,122.74,122.89,114.54,828614650
