날짜,종가,시가,고가,저가,거래량
2023-09-17,244.88,271.16,273.93,244.48,575237587
2023-09-24,250.22,243.38,254.77,234.58,588808971
2023-10-01,260.53,244.81,263.6,242.62,592798300
2023-10-08,251.12,255.31,268.94,250.22,541545143
2023-10-15,211.99,250.05,257.183,210.42,616410739
2023-10-22,207.3,210.0,222.05,202.51,585973376
2023-10-29,219.96,209.28,226.3701,194.07,621700507
2023-11-05,214.65,223.98,226.32,205.69,614241373
2023-11-12,234.3,215.6,246.7,211.6101,720156239
2023-11-19,235.45,234.04,244.01,231.02,422092683
2023-11-26,238.83,236.89,252.75,231.9,649667916
2023-12-03,243.84,235.75,246.66,233.2902,578776202
2023-12-10,253.5,242.74,254.13,228.2,636290550
2023-12-17,252.54,253.78,259.84,247.0,551215167
2023-12-24,248.48,254.49,265.13,247.43,407898262
2023-12-31,237.49,250.08,251.25,234.9001,420854984
2024-01-07,218.89,236.14,241.25,217.1501,502418170
2024-01-14,212.19,215.1,223.49,207.56,429375220
2024-01-21,183.25,212.26,217.8,180.06,653348423
2024-01-28,187.91,185.5,196.3593,182.0,537871833
2024-02-04,193.57,184.26,194.12,175.01,536016008
2024-02-11,199.95,192.11,203.17,182.1087,495639529
2024-02-18,191.97,196.13,199.44,189.13,379971148
2024-02-25,202.64,192.29,205.6,192.0,488348794
2024-03-03,175.34,198.73,199.75,173.7,549590219
2024-03-10,163.57,175.445,182.87,160.51,502780258
2024-03-17,170.83,170.02,178.18,165.9,418091163
2024-03-24,175.79,168.76,184.25,168.73,346873723
2024-03-31,164.9,176.17,177.19,160.51,547482425
2024-04-07,171.05,169.34,179.22,167.79,451427058
2024-04-14,147.05,170.24,170.69,146.22,462858314
2024-04-21,168.29,140.56,172.12,138.8025,649063934
2024-04-28,181.19,188.42,198.87,176.02,628370764
2024-05-05,168.47,183.8,187.56,167.75,377983065
2024-05-12,177.46,170.0,180.0,169.0,370347383
2024-05-19,179.24,177.56,186.875,173.26,402867388
2024-05-26,178.08,176.4,182.67,173.16,259618626
2024-06-02,177.48,178.13,182.6389,172.13,312710972
2024-06-09,178.01,176.06,191.08,167.41,407043372
2024-06-16,183.01,177.92,188.81,177.0,297690969
2024-06-23,197.88,184.97,203.2,182.01,389591990
2024-06-30,251.52,201.02,252.37,200.85,661801938
2024-07-07,248.23,247.71,271.0,233.0912,824144572
2024-07-14,239.2,255.97,265.6,236.83,587103140
2024-07-21,219.8,244.21,255.7594,214.71,576337172
2024-07-28,207.67,224.9,234.68,205.78,464001152
2024-08-04,200.0,185.22,203.8799,182.0,368934704
2024-08-11,216.12,199.02,219.8,194.67,389155956
2024-08-18,220.32,217.07,228.22,210.32,381622057
2024-08-25,214.11,218.75,219.09,202.59,311918353
2024-09-01,210.73,215.26,235.0,209.64,388898006
2024-09-08,230.29,216.2,232.67,213.67,361418443
2024-09-15,238.25,229.3,244.24,223.53,401668481
2024-09-22,260.46,242.61,261.75,241.92,378582771
2024-09-29,250.08,259.04,264.86,237.81,429710449
2024-10-06,217.8,249.0,249.83,214.38,416421896
2024-10-13,220.7,220.13,224.26,213.74,299317185
2024-10-20,269.19,218.9,269.49,212.11,537640455
2024-10-27,248.98,270.0,273.536,246.63,366288979
2024-11-03,321.22,244.56,328.71,238.88,625405564
2024-11-10,320.72,346.3,358.64,309.22,726819635
2024-11-17,352.56,340.73,361.53,330.01,428892998
2024-11-24,345.16,360.14,361.93,326.59,253250816
2024-12-01,389.22,352.38,389.49,348.2,349923951
2024-12-08,436.23,397.61,436.3,378.01,474962693
2024-12-15,421.06,441.09,488.5399,417.64,645429899
2024-12-22,431.66,431.0,465.3299,415.4112,291567836
2024-12-29,410.44,419.4,427.93,373.04,346900211
2025-01-05,394.74,423.2,426.43,377.29,296542197
2025-01-12,426.5,383.21,439.74,380.07,396847556
2025-01-19,406.58,432.64,433.2,405.78,255401977
2025-01-26,404.6,394.8,419.99,384.41,356730932
2025-02-02,361.62,386.68,394.0,360.34,356635566
2025-02-09,355.84,356.21,362.7,325.1,459159830
2025-02-16,337.8,355.01,367.34,334.42,238750078
2025-02-23,292.98,338.14,342.3973,273.6,527844539
2025-03-02,262.67,300.34,303.94,250.73,537122156
2025-03-09,249.98,252.535,253.37,217.02,721244833
2025-03-16,235.86,245.055,245.4,222.28,335371954
