날짜,종가,시가,고가,저가,거래량,외국인 보유율
2024-06-01,81500.0,74400.0,82500.0,74200.0,351896233,55.0
2024-07-01,83900.0,81500.0,88800.0,80000.0,477159149,56.0
2024-08-01,74300.0,86000.0,86100.0,70200.0,402010176,56.0
2024-09-01,61500.0,74500.0,74700.0,61500.0,516679519,53.0
2024-10-01,59200.0,60500.0,61900.0,55700.0,537302984,52.0
2024-11-01,54200.0,59000.0,59600.0,49900.0,581402427,51.0
2024-12-01,53200.0,54300.0,56600.0,51900.0,387381948,50.0
2025-01-01,52400.0,52700.0,57700.0,51700.0,342890865,49.0
2025-02-01,54500.0,51100.0,59100.0,50800.0,424630532,50.0
2025-03-01,57500.0,53900.0,59000.0,52500.0,201482493,50.0
